student_id,age,gender,graduation_percentage,graduation_stream,prep_months,daily_study_hours,mock_tests_attempted,revision_cycles,attempt_number,ncert_read,standard_books,coaching,online_resources,gs_history,gs_geography,gs_polity,gs_economy,gs_sciencetech,gs_environment,gs_currentaffairs,gs_artculture,gs_total_score,csat_comprehension,csat_logicalreasoning,csat_quantitative,csat_datainterpretation,csat_decisionmaking,csat_total_score,csat_qualified,weekly_quizzes,avg_quiz_score,study_streak_days,test_attendance_percent,target,gs_history_pct,gs_geography_pct,gs_polity_pct,gs_economy_pct,gs_sciencetech_pct,gs_environment_pct,gs_currentaffairs_pct,gs_artculture_pct,csat_comprehension_pct,csat_logicalreasoning_pct,csat_quantitative_pct,csat_datainterpretation_pct,csat_decisionmaking_pct,gs_average_pct,csat_average_pct,overall_score,performance_category,weak_subjects_count,very_weak_subjects,strong_subjects_count,weakest_subject,weakest_subject_score,strongest_subject,strongest_subject_score,study_efficiency,mock_efficiency,subject_variance,consistency_score,improvement_needed,quick_wins_count,estimated_hours_needed,test_readiness,streak_quality,revision_effectiveness,weekly_study_hours,preparation_intensity,csat_risk,overall_risk,qualification_probability,gender_encoded,coaching_encoded,graduation_stream_encoded,target_encoded,has_coaching,regular_quiz_taker,high_mock_tester,consistent_student,ncert_reader,standard_books_user
11,27,Male,64,Science,24,5.5,97,5,4,1,0,0,1,15.0,13.2,15.4,10.7,16.9,12.0,15.7,7.2,106.6,19.2,15.0,12.0,8.3,10.9,61.7,0,5,71.1,19,96.8,0,60.0,52.8,61.6,42.8,67.6,48.0,62.8,28.8,54.39093484419264,50.847457627118644,39.735099337748345,32.04633204633205,47.18614718614719,53.05,44.841194208307776,50.58735826249233,Average,3,1,0,artculture,28.8,sciencetech,67.6,7.782670501921897,0.516197533290738,163.83714285714285,73.6570822173935,19.41264173750767,3,38.82528347501534,83.94999999999999,104.5,3.5549999999999997,38.5,132.0,Medium,Medium,0.5097880537483108,1,0,4,0,1,1,1,0,1,0
12,31,Male,63,Engineering,12,6.6,83,9,6,1,0,0,1,19.9,10.8,7.4,14.1,11.3,12.0,11.4,13.5,100.6,21.8,9.6,14.8,9.8,7.5,60.5,0,2,76.9,41,36.7,0,79.6,43.2,29.6,56.4,45.2,48.0,45.6,54.0,61.756373937677054,32.54237288135593,49.0066225165563,37.83783783783784,32.467532467532465,50.2,42.722147928191916,47.956644378457575,Average,5,1,1,polity,29.6,history,79.6,6.3100847866391545,0.5709124330768759,205.94285714285706,66.88702171546177,22.043355621542425,6,44.08671124308485,56.800000000000004,270.59999999999997,6.921,46.199999999999996,79.19999999999999,Medium,Medium,0.46599663979425104,1,0,2,0,1,0,1,1,1,0
13,31,Male,68,Science,41,9.1,34,4,2,0,1,1,1,10.8,12.7,10.9,20.7,10.9,14.6,8.3,14.4,104.0,26.3,20.6,12.4,7.0,16.5,82.6,1,6,64.5,27,96.9,0,43.2,50.8,43.6,82.8,43.6,58.4,33.2,57.6,74.5042492917847,69.83050847457628,41.05960264900663,27.027027027027028,71.42857142857142,51.65,56.7699917741932,53.18599753225796,Average,4,1,1,currentaffairs,33.2,economy,82.8,5.265940349728511,1.5195999294930844,227.63142857142853,63.39977673546828,16.814002467742043,6,33.628004935484086,80.7,245.7,2.58,63.699999999999996,373.09999999999997,Low,Medium,0.5529012274494867,1,1,4,0,1,1,0,0,0,1
14,28,Male,67,Arts,17,12.4,50,0,4,1,1,1,0,20.8,14.8,13.6,11.9,16.6,6.1,10.9,10.2,104.5,20.7,10.9,18.7,13.8,18.0,86.1,1,3,73.5,14,68.0,1,83.2,59.2,54.4,47.6,66.4,24.4,43.6,40.8,58.640226628895185,36.94915254237288,61.9205298013245,53.28185328185329,77.92207792207792,52.45,57.742768035304756,54.037830410591425,Average,4,1,1,environment,24.4,history,83.2,4.032673911238166,1.0595653021684592,316.27142857142866,49.14759806871585,15.962169589408575,5,31.92433917881715,70.75,173.6,0.0,86.8,210.8,Low,Medium,0.5668937197036337,1,1,0,1,1,0,1,0,1,1
15,25,Male,79,Science,17,3.9,17,2,5,1,1,1,0,13.9,3.8,11.9,5.1,6.8,7.0,12.8,4.8,65.4,22.5,17.7,23.5,14.8,12.9,88.4,1,9,59.2,11,77.1,0,55.6,15.2,47.6,20.4,27.2,28.0,51.2,19.2,63.73937677053825,60.0,77.81456953642383,57.14285714285715,55.84415584415584,33.05,62.90819185879502,42.0074575576385,Needs Improvement,6,5,0,geography,15.2,history,55.6,8.57295052196704,2.333747642091028,254.26000000000005,59.11824291732321,27.992542442361497,3,55.985084884722994,68.15,42.9,1.1840000000000002,27.3,66.3,Low,Medium,0.3698556413579054,1,1,4,0,1,1,0,0,1,1
16,24,Male,56,Science,6,11.2,87,8,6,1,1,1,0,17.1,11.9,18.3,14.8,16.9,12.1,12.5,14.3,116.7,25.6,20.1,4.4,6.3,4.8,58.9,0,2,80.6,23,44.9,0,68.4,47.6,73.2,59.2,67.6,48.4,50.0,57.2,72.52124645892353,68.13559322033899,14.569536423841061,24.324324324324326,20.77922077922078,58.949999999999996,40.06598424132974,53.28479527239892,Average,2,0,0,geography,47.6,polity,73.2,4.367606169868764,0.6055090371863513,98.64857142857143,84.13857101511859,16.715204727601083,5,33.43040945520217,62.75,257.59999999999997,6.4479999999999995,78.39999999999999,67.19999999999999,Medium,Medium,0.5545288508194629,1,1,4,0,1,0,1,0,1,1
17,28,Male,89,Science,34,8.5,71,0,4,1,1,0,0,11.8,13.0,11.7,10.2,15.3,14.2,9.0,5.7,88.8,29.6,18.1,10.8,18.2,16.6,92.3,1,3,41.2,21,39.8,0,47.2,52.0,46.8,40.8,61.2,56.8,36.0,22.8,83.85269121813033,61.35593220338984,35.76158940397352,70.27027027027027,71.86147186147186,45.45,64.62039099144717,51.20111729743415,Average,5,1,0,artculture,22.8,sciencetech,61.2,5.389591294466753,0.7111266291310299,149.80285714285716,75.91361592069055,18.798882702565848,5,37.597765405131696,40.5,178.5,0.0,59.5,289.0,Low,Medium,0.5200079319889475,1,0,4,0,1,0,1,0,1,1
18,28,Male,61,Engineering,25,8.4,29,4,5,1,1,1,1,10.3,14.7,7.6,20.0,12.5,12.0,10.3,14.4,100.1,17.3,17.8,6.9,15.0,17.4,72.4,1,11,41.6,18,35.6,0,41.2,58.8,30.4,80.0,50.0,48.0,41.2,57.6,49.00849858356941,60.33898305084746,22.847682119205302,57.91505791505792,75.32467532467531,50.9,53.08697939867109,51.55609381960132,Average,4,1,1,polity,30.4,economy,80.0,5.484690831872481,1.7185364606533775,224.53714285714287,63.89729831540939,18.443906180398677,6,36.887812360797355,38.6,151.20000000000002,1.6640000000000001,58.800000000000004,210.0,Low,Medium,0.5259116629287455,1,1,2,0,1,1,0,0,1,1
19,23,Male,75,Arts,8,8.0,43,1,1,1,1,1,0,9.6,10.5,12.4,9.3,6.3,16.3,7.5,10.1,81.5,24.0,22.0,14.1,0.7,6.9,65.4,0,6,79.4,22,59.6,0,38.4,42.0,49.6,37.2,25.2,65.2,30.0,40.4,67.98866855524079,74.57627118644068,46.688741721854306,2.7027027027027026,29.87012987012987,40.99999999999999,44.36530280727367,42.00959084218209,Needs Improvement,7,2,0,sciencetech,25.2,environment,65.2,4.66773231579801,0.9547634282314111,150.40000000000003,75.81760298421068,27.990409157817908,3,55.980818315635815,69.5,176.0,0.794,56.0,64.0,Medium,Medium,0.36988878787226215,1,1,0,0,1,1,0,0,1,1
20,26,Male,72,Engineering,26,4.2,52,3,1,1,1,0,0,5.8,9.2,13.8,13.6,7.9,12.2,16.2,10.8,87.1,20.4,15.4,15.9,7.4,14.5,69.5,1,1,91.2,37,45.5,0,23.2,36.8,55.2,54.4,31.6,48.8,64.8,43.2,57.79036827195468,52.20338983050847,52.64900662251656,28.571428571428577,62.77056277056276,44.75,50.79695121339421,46.56408536401826,Average,5,2,0,history,23.2,currentaffairs,64.8,8.954631800772741,0.8785676483777031,189.0942857142857,69.59605657872372,23.43591463598174,4,46.87182927196348,68.35,155.4,2.736,29.400000000000002,109.2,Low,Medium,0.44298383642637257,1,0,2,0,1,0,1,1,1,1
21,25,Female,57,Arts,22,4.5,9,0,3,1,1,1,1,7.8,6.9,10.3,12.4,9.2,6.7,3.9,4.7,59.8,19.9,10.7,4.8,6.9,8.1,49.3,0,8,74.8,21,35.7,0,31.2,27.6,41.2,49.6,36.8,26.8,15.6,18.8,56.37393767705382,36.271186440677965,15.894039735099339,26.640926640926644,35.06493506493506,30.95,34.049005111738566,31.87970153352157,Needs Improvement,8,5,0,currentaffairs,15.6,economy,49.6,5.796309369731194,3.1879701533521567,128.40857142857143,79.35354352050496,38.12029846647843,2,76.24059693295686,55.25,94.5,0.0,31.5,99.0,Medium,High,0.23005159473273912,0,1,0,0,1,1,0,0,1,1
22,22,Male,93,Science,39,8.6,86,2,2,1,1,1,1,20.2,20.3,14.4,13.1,17.6,15.0,17.2,21.6,141.0,29.0,19.5,8.8,18.6,20.3,100.1,1,8,80.0,20,96.9,1,80.8,81.2,57.6,52.4,70.4,60.0,68.8,86.4,82.1529745042493,66.10169491525424,29.139072847682122,71.81467181467183,87.87878787878788,69.7,67.41744039212907,69.01523211763872,Good,0,0,3,economy,52.4,artculture,86.4,7.1890866789207,0.7932785300878014,153.63428571428577,75.29757119428147,0.9847678823612824,2,1.9695357647225649,88.45,172.0,1.6,60.199999999999996,335.4,Low,Low,0.7803457105208765,1,1,4,1,1,1,1,0,1,1
23,28,Female,65,Arts,22,7.0,51,9,1,1,1,1,1,14.2,16.4,19.7,10.5,10.9,17.6,12.6,9.7,111.9,21.7,12.3,19.4,14.3,7.2,76.0,1,8,85.3,27,81.3,1,56.8,65.6,78.8,42.0,43.6,70.4,50.4,38.8,61.47308781869689,41.694915254237294,64.23841059602648,55.21235521235521,31.16883116883117,55.800000000000004,50.75752001002941,54.28725600300882,Average,3,0,1,artculture,38.8,polity,78.8,6.785907000376103,1.0439856923655542,213.80571428571426,65.62277481980348,15.712743996991179,4,31.425487993982358,83.3,189.0,7.677,49.0,154.0,Low,Medium,0.57097177464742,0,1,0,1,1,1,1,0,1,1
24,32,Male,93,Science,14,11.6,48,6,5,1,1,0,1,13.1,13.6,23.3,13.8,7.9,17.6,15.6,12.1,116.3,27.3,15.8,18.3,11.9,12.9,88.6,1,3,59.9,34,66.2,1,52.4,54.4,93.2,55.2,31.6,70.4,62.4,48.4,77.33711048158641,53.559322033898304,60.59602649006622,45.94594594594595,55.84415584415584,58.5,58.65651215913054,58.54695364773916,Average,2,1,1,sciencetech,31.6,polity,93.2,4.646583622836442,1.1948357887293706,321.63428571428574,48.285319208559386,11.453046352260841,4,22.906092704521683,63.05,394.4,3.594,81.2,162.4,Low,Low,0.6387163118359306,1,0,4,1,1,0,0,1,1,1
25,34,Male,78,Science,35,7.4,10,9,4,1,0,1,0,7.0,12.9,11.8,17.3,9.1,11.4,18.0,15.6,106.5,22.8,17.9,5.7,19.8,6.2,71.2,1,8,45.9,24,82.0,1,28.0,51.6,47.2,69.2,36.4,45.6,72.0,62.4,64.58923512747876,60.67796610169491,18.874172185430467,76.44787644787645,26.83982683982684,51.55,49.485815340461485,50.93074460213844,Average,4,1,0,history,28.0,currentaffairs,72.0,6.063183881206957,4.630067691103495,240.84285714285716,61.27554793985639,19.06925539786156,3,38.13851079572312,63.95,177.60000000000002,4.130999999999999,51.800000000000004,259.0,Medium,Medium,0.5155074348488953,1,1,4,1,1,1,0,0,1,0
26,26,Male,73,Science,30,5.2,65,2,6,1,1,1,1,13.4,14.0,7.7,9.4,10.7,11.5,10.9,8.7,83.8,22.2,14.8,24.1,10.0,13.4,82.8,1,7,91.3,22,72.8,0,53.6,56.0,30.8,37.6,42.8,46.0,43.6,34.8,62.889518413597735,50.16949152542372,79.80132450331126,38.61003861003861,58.00865800865801,43.150000000000006,57.89580621220587,47.573741863661766,Average,6,2,0,polity,30.8,geography,56.0,7.673184171558349,0.7208142706615419,76.5457142857143,87.69242784099522,22.426258136338234,5,44.85251627267647,82.05,114.4,1.8259999999999998,36.4,156.0,Low,Medium,0.459650299292315,1,1,4,0,1,1,1,0,1,1
27,22,Male,58,Arts,10,9.5,57,3,4,1,1,0,0,12.1,8.9,9.0,12.9,18.3,4.7,8.9,11.5,87.8,17.0,14.3,4.0,7.4,12.3,56.0,0,4,91.6,37,42.5,0,48.4,35.6,36.0,51.6,73.2,18.8,35.6,46.0,48.158640226628904,48.47457627118644,13.245033112582782,28.571428571428577,53.246753246753244,43.150000000000006,38.33928628571599,41.7067858857148,Needs Improvement,6,1,0,environment,18.8,sciencetech,73.2,3.9720748462585527,0.7190825152709448,252.5914285714286,59.38652786901814,28.2932141142852,3,56.5864282285704,67.05,351.5,2.7479999999999998,66.5,95.0,Medium,Medium,0.3651962673251699,1,0,0,0,1,1,1,1,1,1
28,32,Male,80,Commerce,3,6.6,89,1,3,1,1,0,0,10.2,9.4,14.5,13.5,9.7,3.4,8.9,11.8,81.2,19.9,9.5,15.3,8.1,13.4,66.4,0,6,64.3,33,74.3,0,40.8,37.6,58.0,54.0,38.8,13.6,35.6,47.2,56.37393767705382,32.20338983050847,50.66225165562914,31.27413127413127,58.00865800865801,40.699999999999996,45.70447368919614,42.20134210675884,Needs Improvement,6,1,0,environment,13.6,polity,58.0,5.552808171941953,0.4689038011862093,184.58285714285714,70.32143661078928,27.798657893241163,4,55.597315786482326,69.3,217.79999999999998,0.643,46.199999999999996,19.799999999999997,Medium,Medium,0.3728731558879881,1,0,1,0,1,1,1,1,1,1
29,25,Male,92,Arts,39,8.2,35,2,4,1,1,0,1,11.9,10.8,7.0,10.1,13.5,16.1,10.6,9.8,91.0,31.7,17.8,17.6,14.3,12.1,93.4,1,7,51.9,17,77.7,0,47.6,43.2,28.0,40.4,54.0,64.4,42.4,39.2,89.80169971671388,60.33898305084746,58.278145695364245,55.21235521235521,52.38095238095237,44.9,63.20242721124663,50.390728163373986,Average,6,1,0,polity,28.0,environment,64.4,5.477253061236303,1.3997424489826107,116.83428571428574,81.21454067686822,19.609271836626014,5,39.21854367325203,64.8,139.39999999999998,1.038,57.39999999999999,319.79999999999995,Low,Medium,0.5065117678597243,1,0,0,0,1,1,0,0,1,1
30,21,Male,86,Engineering,24,9.3,32,8,1,0,1,1,0,11.8,12.1,12.5,7.2,13.7,13.6,6.0,10.5,87.6,25.5,21.6,15.6,18.0,11.8,95.9,1,2,89.1,43,46.6,0,47.2,48.4,50.0,28.8,54.8,54.4,24.0,42.0,72.23796033994336,73.22033898305085,51.65562913907284,69.4980694980695,51.082251082251084,43.699999999999996,63.538849808477536,49.65165494254326,Average,5,2,0,currentaffairs,24.0,sciencetech,54.8,4.820549023547889,1.5045956043194928,132.10285714285712,78.75954961204343,20.34834505745674,6,40.69669011491348,67.85,399.90000000000003,7.127999999999999,65.10000000000001,223.20000000000002,Low,Medium,0.4941945099522663,1,1,2,0,1,0,0,1,0,1
31,32,Male,93,Medical,8,11.3,46,2,4,1,1,1,1,13.8,10.7,15.9,11.8,11.9,9.9,15.3,12.8,99.3,22.4,13.8,18.7,11.4,12.8,77.5,1,8,79.0,28,52.4,0,55.2,42.8,63.6,47.2,47.6,39.6,61.2,51.2,63.45609065155807,46.779661016949156,61.9205298013245,44.015444015444025,55.41125541125541,51.050000000000004,54.316596179306224,52.02997885379187,Average,4,0,0,environment,39.6,polity,63.6,4.230079581609095,1.1070208266764228,71.9514285714286,88.43113024223742,17.970021146208133,5,35.940042292416265,65.7,316.40000000000003,1.58,79.10000000000001,90.4,Low,Medium,0.5337814384684777,1,1,3,0,1,1,0,0,1,1
32,30,Male,90,Arts,23,10.1,12,4,1,1,1,0,0,11.1,12.5,15.2,12.9,10.4,14.7,13.2,14.3,104.4,22.3,17.4,12.6,15.1,17.0,82.5,1,14,40.5,32,56.8,1,44.4,50.0,60.8,51.6,41.6,58.8,52.8,57.2,63.172804532577906,58.98305084745762,41.72185430463576,58.30115830115831,73.59307359307358,52.15,59.154388315780636,54.25131649473418,Average,2,0,0,sciencetech,41.6,polity,60.8,4.887505990516593,4.17317819190263,45.89428571428571,92.62078565226778,15.748683505265817,7,31.497367010531633,48.65,323.2,1.62,70.7,232.29999999999998,Low,Medium,0.5703847517723686,1,0,0,1,1,1,0,1,1,1
33,26,Male,94,Science,34,9.2,39,1,1,0,1,0,1,12.2,13.5,14.6,9.7,13.9,12.8,9.0,8.7,94.9,28.4,10.5,11.3,15.6,8.1,75.6,1,6,45.9,12,72.2,0,48.8,54.0,58.4,38.8,55.6,51.2,36.0,34.8,80.45325779036827,35.59322033898305,37.41721854304636,60.231660231660236,35.06493506493506,47.2,49.7520583937986,47.96561751813958,Average,4,1,0,artculture,34.8,polity,58.4,4.702511521386234,1.1991404379534896,87.22285714285717,85.97567978537204,22.03438248186042,5,44.06876496372084,59.05,110.39999999999999,0.45899999999999996,64.39999999999999,312.79999999999995,Medium,Medium,0.46614550347924144,1,0,4,0,1,1,0,0,0,1
34,33,Male,91,Science,37,9.2,88,3,2,1,1,0,1,16.2,14.1,17.3,15.8,15.3,13.3,10.0,20.9,119.6,23.4,14.2,3.3,15.9,13.7,71.9,1,2,94.1,34,38.9,1,64.8,56.4,69.2,63.2,61.2,53.2,40.0,83.6,66.28895184135978,48.135593220338976,10.927152317880795,61.38996138996139,59.3073593073593,61.44999999999999,49.209803615380046,57.777941084614,Average,1,0,1,currentaffairs,40.0,artculture,83.6,5.664504027903334,0.6491903492653258,159.81428571428566,74.303906210521,12.222058915386,3,24.444117830772,66.5,312.79999999999995,2.823,64.39999999999999,340.4,Medium,Low,0.6268038279186753,1,0,4,1,1,0,1,1,1,1
35,32,Male,87,Arts,17,12.0,67,6,3,1,1,1,1,21.1,13.0,11.6,11.2,19.3,18.8,6.7,17.1,121.7,19.8,22.2,4.8,16.9,8.9,70.5,1,3,42.1,20,82.0,1,84.4,52.0,46.4,44.8,77.2,75.2,26.8,68.4,56.09065155807366,75.2542372881356,15.894039735099339,65.25096525096525,38.52813852813853,59.400000000000006,50.20360647208247,56.64108194162474,Average,3,1,3,currentaffairs,26.8,history,84.4,4.357006303201903,0.8329570873768344,396.0228571428573,36.32458804018759,13.35891805837526,3,26.71783611675052,62.05,240.0,2.5260000000000002,84.0,204.0,Low,Low,0.6089114371886876,1,1,0,1,1,0,1,0,1,1
36,29,Female,90,Science,7,6.6,41,6,5,1,0,0,1,11.3,11.2,14.7,15.3,14.1,12.1,13.1,11.5,103.8,16.6,15.2,22.5,17.2,11.1,82.8,1,5,55.5,16,54.2,0,45.2,44.8,58.8,61.2,56.4,48.4,52.4,46.0,47.025495750708224,51.52542372881356,74.50331125827815,66.40926640926641,48.051948051948045,51.64999999999999,57.50308903980287,53.40592671194085,Average,4,0,0,geography,44.8,economy,61.2,7.027095619992218,1.2715696836176393,42.35142857142858,93.19043178257894,16.59407328805915,7,33.1881465761183,54.85,105.6,3.33,46.199999999999996,46.199999999999996,Low,Medium,0.5565228078367561,0,0,4,0,1,1,0,0,1,0
37,21,Male,57,Engineering,8,2.3,18,2,1,1,1,1,1,7.3,7.1,8.5,3.3,4.6,8.9,4.0,8.8,53.5,7.7,18.1,5.0,10.0,8.3,45.5,0,8,70.2,47,78.4,0,29.2,28.4,34.0,13.2,18.4,35.6,16.0,35.2,21.81303116147309,61.35593220338984,16.55629139072848,38.61003861003861,35.93073593073593,26.25,34.85320585927319,28.830961757781957,Needs Improvement,8,6,0,economy,13.2,environment,35.6,8.736655078115746,1.5174190398832608,82.55714285714286,86.72586698762856,41.16903824221804,0,82.33807648443609,74.30000000000001,108.1,1.4040000000000001,16.099999999999998,18.4,Medium,High,0.1960339448392377,1,1,2,0,1,1,0,1,1,1
